Index,Record,Filename,Name,URL,Group,Library,Calcite,Chlorite,Dolomite,Goethite,Gypsum,Hematite,Illite+Muscovite,Kaolinite,Montmorillonite,Vermiculite,Iron Oxide,Clay,Carbonate,Sulfate,Sulfide,Artifical Materials,Vegetation,Coating,Biotite,Status_vs_527,T6_Filename,T6_Record,T6_Materials,T6_IDConfidence,NeedsSignoff,MappingNotes
43,6174,group.1um/fe3+_hematite.med.gr.br25b,Hematite_Coatd_Qtz BR93-25B W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtz_BR93-25B_BECKa_AREF.html,1,splib06,,,,,,0.05,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.med.gr.br25b,6174,hematite,9,YES,diagnostic feature definition changed
44,816,group.1um/fe3+_hematite.lg.gr.br25c,Hematite_Coatd_Qtzt BR93-25C W1R1Hb AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtzt_BR93-25C_BECKa_AREF.html,1,sprlb06,,,,,,0.69,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.lg.gr.br25c,816,hematite,9,YES,diagnostic feature definition changed
45,3468,group.1um/fe3+_hematite.nano.BR34b2,Nanohematite BR93-34B2 W1R1BbS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Nanohematite_BR93-34B2_BECKb_AREF.html,1,splib06,,,,,,0.1,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.nano.BR34b2,3468,hematite_smallgrain,9,YES,diagnostic feature definition changed
46,1026,group.1um/fe3+_hematite-nano+goethite-fg-amix,nHematit+fg-Goethit 34B2+MPC W1R1Hb,No available USGS Spectral Library 7 Description Reference,1,sprlb06,,,,0.1,,0.05,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite-nano+goethite-fg-amix,1026,hematite_smallgrain+goethite_smallgrain,9,YES,output name fe3+_hematite-nano+goethite-fg â†’ fe3+_hematite-nano+goethite-fg-amix; diagnostic feature definition changed
47,918,group.1um/fe3+_hematite.nano.BR34b2b,Nanohematite FBR93-34B2b ed1 W1R1Hb,No available USGS Spectral Library 7 Description Reference,1,sprlb06,,,,,,0.1,,,,,,,,,,,,,,identical,group.1um/fe3+_hematite.nano.BR34b2b,918,hematite_smallgrain,9,no,
48,822,group.1um/fe3+_hematite.lg.gr.br34c,Hematite_Coatd_Qtz BR93-34C W1R1Ha AREF,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Hematite_Coatd_Qtz_BR93-34C_BECKa_AREF.html,1,sprlb06,,,,,,0.63,,,,,,,,,,,,,,diverged,group.1um/fe3+_hematite.lg.gr.br34c,822,hematite,9,YES,diagnostic feature definition changed
49,6210,group.1um/fe3+_sulfate_jarosite_br34a2,Jarosite_on_Qtzite BR93-34A2 W1R1Bb,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Jarosite_on_Qtzite_BR93-34A2_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,diverged,group.1um/fe3+_sulfate_jarosite_br34a2,6210,jarosite,9,YES,diagnostic feature definition changed
50,5340,group.1um/fe2+generic_broad_br60b,Actinolite_Dolomit BR93-60B W1R1BbS,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Actinolite_Dolomit_BR93-60B_BECKb_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,diverged,group.1um/fe2+generic_broad_br60b,5340,actinolite+dolomite,9,YES,diagnostic feature definition changed
51,6036,group.1um/fe2+generic_vbroad_br20,Phlogopite_Sand_Mix BR93-20 W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Phlogopite_Sand_Mix_BR93-20_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+generic_vbroad_br20,6036,fe2+generic_vbroad,9,no,
52,6942,group.1um/fe2+fe3+_water_RTsludge,Renyolds_TnlSldgWet SM93-15w W1R1Ba,https://crustal.usgs.gov/speclab/data/HTMLmetadata/Renyolds_TnlSldgWet_SM93-15w_BECKa_AREF.html,1,splib06,,,,,,,,,,,-1,,,,,,,,,identical,group.1um/fe2+fe3+_water_RTsludge,6942,fe2+fe3+_water_RTsludge,4,no,
